	One_over_A	Shearlength_fit
293	0.293	3.516160925424054
294	0.294	3.5195872304883036
295	0.295	3.523013535552553
296	0.296	3.5264398406168027
297	0.297	3.5298661456810523
298	0.298	3.533292450745302
299	0.299	3.5367187558095514
300	0.3	3.5401450608738014
301	0.301	3.543571365938051
302	0.302	3.546997671002301
303	0.303	3.5504239760665506
304	0.304	3.5538502811308
305	0.305	3.5572765861950497
306	0.306	3.5607028912592993
307	0.307	3.564129196323549
308	0.308	3.5675555013877984
309	0.309	3.570981806452048
310	0.31	3.574408111516298
311	0.311	3.5778344165805476
312	0.312	3.581260721644797
313	0.313	3.584687026709047
314	0.314	3.5881133317732967
315	0.315	3.5915396368375463
316	0.316	3.594965941901796
317	0.317	3.5983922469660454
318	0.318	3.601818552030295
319	0.319	3.6052448570945446
320	0.32	3.608671162158794
321	0.321	3.612097467223044
322	0.322	3.6155237722872937
323	0.323	3.6189500773515433
324	0.324	3.6223763824157933
325	0.325	3.625802687480043
326	0.326	3.6292289925442924
327	0.327	3.632655297608542
328	0.328	3.6360816026727916
329	0.329	3.639507907737041
330	0.33	3.6429342128012907
331	0.331	3.6463605178655403
332	0.332	3.6497868229297903
333	0.333	3.65321312799404
334	0.334	3.65663943305829
335	0.335	3.6600657381225394
336	0.336	3.663492043186789
337	0.337	3.6669183482510386
338	0.338	3.670344653315288
339	0.339	3.6737709583795377
340	0.34	3.6771972634437873
341	0.341	3.680623568508037
342	0.342	3.684049873572287
343	0.343	3.6874761786365364
344	0.34400000000000003	3.690902483700786
345	0.34500000000000003	3.694328788765036
346	0.34600000000000003	3.6977550938292856
347	0.34700000000000003	3.701181398893535
348	0.34800000000000003	3.7046077039577847
349	0.34900000000000003	3.7080340090220343
350	0.35000000000000003	3.711460314086284
351	0.35100000000000003	3.7148866191505334
352	0.352	3.718312924214783
353	0.353	3.7217392292790326
354	0.354	3.725165534343282
355	0.355	3.728591839407532
356	0.356	3.7320181444717817
357	0.357	3.7354444495360313
358	0.358	3.7388707546002813
359	0.359	3.742297059664531
360	0.36	3.7457233647287804
361	0.361	3.74914966979303
362	0.362	3.7525759748572796
363	0.363	3.756002279921529
364	0.364	3.7594285849857787
365	0.365	3.7628548900500283
366	0.366	3.7662811951142783
367	0.367	3.769707500178528
368	0.368	3.7731338052427774
369	0.369	3.7765601103070274
370	0.37	3.779986415371277
371	0.371	3.7834127204355266
372	0.372	3.786839025499776
373	0.373	3.7902653305640257
374	0.374	3.7936916356282753
