	Temperature	SigmaT_saturation
414	0.015	0.6841907392473502
415	0.016	0.6847422055981153
416	0.016999999999999998	0.6853287628055414
417	0.018000000000000002	0.6859503208505605
418	0.019	0.6866067846789222
419	0.02	0.6872980542709787
420	0.021	0.6880240247170271
421	0.022000000000000002	0.688784586294199
422	0.023000000000000003	0.6895796245472009
423	0.024	0.6904090203714488
424	0.024999999999999998	0.6912726500994191
425	0.025999999999999995	0.6921703855889207
426	0.027	0.6931020943140401
427	0.027999999999999997	0.6940676394592824
428	0.029	0.695066880013576
429	0.03	0.6960996708692907
430	0.031	0.6971658629212326
431	0.032	0.6982653031668792
432	0.032999999999999995	0.6993978348091263
433	0.034	0.7005632973618791
434	0.035	0.7017615267534909
435	0.036000000000000004	0.7029923554326614
436	0.037000000000000005	0.7042556124790148
437	0.038	0.7055511237076794
438	0.039	0.7068787117803972
439	0.04	0.708238196312205
440	0.040999999999999995	0.7096293939855597
441	0.042	0.7110521186575122
442	0.043	0.7125061814692009
443	0.044000000000000004	0.71399139095777
444	0.044999999999999984	0.7155075531657789
445	0.046000000000000006	0.7170544717512721
446	0.047	0.7186319480964252
447	0.048	0.7202397814180649
448	0.049	0.7218777688740173
449	0.04999999999999999	0.7235457056728575
450	0.051	0.7252433851792635
451	0.05199999999999999	0.7269705990206129
452	0.052999999999999985	0.72872713719205
453	0.053999999999999986	0.7305127881600041
454	0.055	0.7323273389652926
455	0.055999999999999994	0.7341705753243863
456	0.057	0.736042281729696
457	0.058	0.7379422415481278
458	0.059000000000000004	0.7398702371186014
459	0.06000000000000001	0.7418260498473688
460	0.061	0.7438094603027758
461	0.062	0.7458202483073901
462	0.063	0.7478581930286772
463	0.064	0.7499230730684574
464	0.06499999999999999	0.752014666549978
465	0.06599999999999999	0.7541327512034302
466	0.067	0.7562771044495437
467	0.06799999999999999	0.7584475034812779
468	0.069	0.7606437253438506
469	0.07	0.7628655470123427
470	0.071	0.7651127454678175
471	0.07200000000000001	0.7673850977715424
472	0.073	0.7696823811364345
473	0.07400000000000001	0.7720043729975731
474	0.075	0.7743508510800533
475	0.076	0.7767215934651022
476	0.077	0.7791163786540691
477	0.078	0.7815349856305723
478	0.079	0.7839771939206416
479	0.08	0.7864427836507256
480	0.081	0.7889315356039671
481	0.08199999999999999	0.7914432312744275
482	0.083	0.7939776529193607
483	0.08399999999999999	0.7965345836095343
484	0.085	0.7991138072779027
485	0.086	0.801715108766152
486	0.08700000000000001	0.8043382738693874
487	0.08800000000000001	0.8069830893791947
488	0.08900000000000001	0.8096493431246617
