SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	rhoH	S	Ttt	Txx	Tyy	FreeEnergy	InternalEnergy	rho	T	Ax	Ay	Gx	Gy	mu	Q
-8145132645334970.0	6073837974857057.0	-2469437349475720.0	3539853714731439.0	-2923913630028357.5	2552980268047935.0	-581016405165297.6	1051662040697161.9	-2542014859711109.0	1895584401121722.8	-770686827437755.5	1104753125070910.6	-912524352847818.9	796759741125150.9	-181329439307784.5	328213259532050.0	0.10403001687833265	2.6804665520803646	-0.5784885721850128	0.28924282356585257	0.2892427301006216	-0.28924187449319416	0.5784885721850128	0.6613345221680188	0.077	0.0	0.0	0.09999999999999999	0.09999999999999999	6.357150964820668	3.204203395671839
4352920861481982.0	1061332728995593.8	-3144698189016995.0	-1337778644089308.5	1393237375814028.8	353681239952777.94	-1006464918848076.6	-472461223664573.0	1394018220434042.8	339890664049226.8	-1007086210100117.9	-428422170793414.2	446182769932838.56	113266036394702.28	-322319306908836.9	-151305198324406.8	0.10674964120218743	2.723706828964257	-0.5838894439189526	0.2919451305655823	0.2919454467130045	-0.2919471882720035	0.5838894439189526	0.6633874995317439	0.078	0.0	0.0	0.09999999999999999	0.09999999999999999	6.214423693244087	3.1225709948945317
-1.7458046781950216e+16	2.2821402683776464e+16	1.8447539572939404e+16	-2.3209847475984864e+16	-6245789051006807.0	7511566286200573.0	6517810432395622.0	-7637751771849825.0	-5735196585714786.0	7497129111175176.0	6060257902559118.0	-7624738303305176.0	-2051823350448573.5	2467647718903373.5	2141185930195787.0	-2509101300481046.0	0.10950435745280364	2.7672465414700462	-0.5893808188492993	0.29469213810549133	0.2946925052707939	-0.29469216823951466	0.5893808188492993	0.66546051031268	0.079	0.0	0.0	0.1	0.1	6.077023104764751	3.0440188964810657
-1.1659303310417168e+16	5262169885429898.0	2240743069867229.5	-4643938507826328.0	-3949731806017539.0	1766507732278208.8	750215067645715.5	-1569559273444921.8	-3927815211217025.0	1772732930065627.8	754867120266960.1	-1564461599922484.2	-1330595512859018.0	595105535626260.4	252734325193365.25	-528757047055766.6	0.11229416563017842	2.8110880672246714	-0.5949600933234233	0.2974813498109964	0.29748144486243433	-0.2974803199308386	0.5949600933234233	0.6675533678762884	0.08	0.0	0.0	0.1	0.1	5.944684339836451	2.9683940520216145
2636959219255962.5	-189530218359736.0	-3012983783253825.0	656837151953885.5	888885550438145.1	-57709627421439.14	-1024241613630015.8	236354491786895.62	910692845100596.1	-65455624997972.75	-1040555634602342.8	226843437817531.16	306983022333478.25	-19930435177892.055	-353729212941841.9	81626724829839.06	0.11511906573431227	2.855233746935506	-0.6006241465988483	0.3003137062110517	0.3003134199590984	-0.3003156730484509	0.6006241465988483	0.6696658861455232	0.081	0.0	0.0	0.1	0.1	5.817158798799948	2.8955528018500734
-2389639726003275.0	3595146510659872.5	3627329472253769.0	-4740495478606045.0	57484924459882.51	1640505678535847.8	349811296621229.06	-2021213556399125.8	-845782329816434.4	1272455993566438.0	1283846740021256.5	-1677837569718314.8	20346051670440.426	580635942636332.2	123811221512980.12	-715382612778618.2	0.11797905776520634	2.899685884735675	-0.6063810929018697	0.30319135611648895	0.30319069062034	-0.30319102929329667	0.6063810929018697	0.6717978796468411	0.082	0.0	0.0	0.1	0.1	5.694212959254572	2.825360192287081
-2228115408333289.5	265133281062948.7	1415731577853134.5	870204264656481.0	-897527073764241.9	100070079851605.5	693666227699048.1	322758672491155.1	-807964612925225.5	96143273371940.73	513376018148797.5	315555580841744.9	-325463444142818.7	36287655042599.445	251538929745746.47	117039532562923.6	0.12087414172285796	2.9444467485368486	-0.6122250429303967	0.306113088583447	0.30611257438059836	-0.30611320075250614	0.6122250429303967	0.6739491635543446	0.083	0.0	0.0	0.1	0.1	5.575627292560632	2.7576893501144335
4.8194791822277e+16	-4.584186889740926e+16	-5.170490708555995e+16	4.913218311778976e+16	1.7676099388482552e+16	-1.7073002226142092e+16	-1.8955888036460124e+16	1.830053475164458e+16	1.790016994134285e+16	-1.7026263890055672e+16	-1.920387221602358e+16	1.824832921035869e+16	6565132268247556.0	-6341134170344249.0	-7040462348980701.0	6797055650325908.0	0.12380431760727166	2.9895185703888667	-0.6181606838581803	0.309078820120786	0.30907840446100204	-0.30907842978741384	0.6181606838581803	0.6761195537329292	0.08399999999999999	0.0	0.0	0.1	0.1	5.461195270088748	2.6924209088631423
-3585460764908895.0	-459422051809590.2	-4.348163956643688e+16	-1261139953793982.0	-1363582656100105.2	-174726878000662.22	-1.653645187615411e+16	-479654137146873.44	-1363582124104665.0	-174722229119961.47	-1.6536448263452684e+16	-479622567291251.5	-518582423992724.2	-66450161656802.7	-6288957445895726.0	-182416668331034.62	0.12676958541844277	3.0349035468457157	-0.624184114784812	0.3120910128177749	0.312090984958241	-0.3120915534761686	0.624184114784812	0.678308866779095	0.085	0.0	0.0	0.1	0.1	5.3507224508198945	2.629442482067589
7.141069621991526e+16	-4.526214179641614e+16	-1.2477992903189296e+16	9698046195763172.0	2.729372314987082e+16	-1.8383788818180224e+16	-4577767383062233.0	3712338192922180.0	2.7800886396108356e+16	-1.7620996975741378e+16	-4857805364125093.0	3775544768844191.0	1.0625714868815094e+16	-7156989800104232.0	-1782169866715723.0	1445249771092151.5	0.12976994515637405	3.0806038393372583	-0.6302967415889382	0.3151509904301034	0.3151508690043657	-0.31515210865488175	0.6302967415889382	0.6805169200608155	0.086	0.0	0.0	0.09999999999999999	0.09999999999999999	5.244025642773378	2.568648179142554
