SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	SigmaQ011	SigmaQ012	SigmaQ021	SigmaQ022	rhoH	S	Ttt	Txx	Tyy	rho	T	Ax	Ay	Gx	Gy	mu	Q
28.870724697719464	51.62653771122331	-158.03948317971674	-529769051988470.25	3.734889323767931	6.607929869268432	-16.365768803837206	-62931556977461.8	3.7348893112407064	7.346230307539745	-18.773597060081237	-62931556828891.586	0.5370680490842152	0.9305975999395141	-1.9440986702816494	-7475674238411.023	2.897483061405733	-0.5915505497636318	7.673861546209082e-13	17.1875	0.7132030242022982	1.6944355839457323	-0.3482591985639464	0.1739917664134047	0.17428185815446368	0.7132006433563307	0.04999999999999999	0.7	0.0	0.1	0.1	14.001275544296817	7.599088773175333
20.19780633944447	-1320.2119856243964	869.8863253232025	1.1205005352897076e+16	2.575824230558634	-196.82909683607474	133.46056234324405	1297400851667699.0	2.5758241993343574	-185.42908623658087	100.72206279012754	1297400844068781.5	0.38341140072953095	-26.442587894307067	15.453080188779223	150222950104528.44	2.8929730098135025	91.25596598949619	-1.3642420526593924e-12	20.0	0.7431872708682052	1.721037629448849	-0.384040314812981	0.19182003541160364	0.19223883302349196	0.7431839217219731	0.04999999999999999	0.8	0.0	0.1	0.1	14.001275544296817	7.599088773175333
14.449950805153966	21.783390425900954	-24.74725187525378	596768314849502.9	1.7976484879873977	3.081264595242552	-4.929182460818855	67332198642805.67	1.7976484227320821	2.8559997809321667	-2.79218385621715	67332197652658.0	0.27959490644650004	0.4155064391604287	-0.5561499822616587	7596959816053.489	2.8920150396981725	-0.23327089597533046	2.0250467969162855e-13	27.375	0.7768657541884285	1.7530447649114207	-0.4246616870917297	0.21204668699961196	0.21263807090461487	0.7768611658854638	0.04999999999999999	0.9	0.0	0.1	0.1	14.001275544296817	7.599088773175333
10.598940661678471	25.401601076635707	-14.693551206597423	-235718237740426.0	1.2653815287617804	1.1978126337110089	-3.175221310599123	-25937975400920.055	1.2653814034404334	3.345657569701463	-1.6168496741712015	-25937974457508.625	0.2078793924450455	0.18572723062614835	-0.3493951509257027	-2854164149018.086	2.8964443443705044	4.434015662652769	-7.123190925995004e-13	37.0	0.8139924778604635	1.7914028461895117	-0.47017562470124996	0.23469321482247166	0.2355103316358608	0.8139863252364502	0.04999999999999999	1.0	0.0	0.1	0.1	14.001275544296817	7.599088773175333
8.049827057997788	11.81618626470551	-5.648424529535764	-745516214443498.9	0.9019233752574561	0.07939010390517234	-1.1008034856718552	-80173538230975.42	0.9019231418760012	1.2320865268717291	-0.6074370119502932	-80173531450069.81	0.1582030234086886	0.03260005373530743	-0.11838146665224558	-8621939488763.766	2.907917966651455	5.781988697706518	1.4210854715202004e-13	46.75	0.854185947546089	1.837199583403092	-0.5206693490082528	0.25980154728585675	0.2609008494287678	0.8541778535812026	0.04999999999999999	1.1	0.0	0.1	0.1	14.001275544296817	7.599088773175333
6.411035397546941	55.094734843725014	0.8266174967196652	689191722895954.1	0.6577729296148488	2.964375165849804	0.5218328456764512	72666809119010.06	0.6577725323581869	10.009183492989346	0.08715665487330364	72666796157039.17	0.12419430391075419	0.7630019333787721	0.05502085960272737	7661821856254.829	2.927260763725262	12.29486575479551	-2.2293278334473143e-13	73.5	0.8969195187040568	1.8913827798475689	-0.5762810663644972	0.28744506846671325	0.2888743909430238	0.8969090311690344	0.04999999999999999	1.2	0.0	0.1	0.1	14.001275544296817	7.599088773175333
5.391097969397316	-178.21090174625644	-50.48211620734488	-2182244708448847.5	0.49672409150772545	-5.073690319348941	-12.266509178083343	-226461988559011.9	0.49672350198221177	-24.36906777507413	-5.2387692769022145	-226461911508404.6	0.10124675751122585	-1.1207928455372	-1.2729539933121374	-23501037539241.996	2.9541356772933813	-62.741839654513896	-4.213518423057394e-12	-11.75	0.9415935239528416	1.9542727584374713	-0.6372068522188981	0.317731732437873	0.3195190248436435	0.9415800952781866	0.04999999999999999	1.3	0.0	0.1	0.1	14.001275544296817	7.599088773175333
4.767177577339885	-15066.790874539862	1175.7366029154966	-2.15587503466481e+17	0.3906857737300112	-1682.2016376164447	293.04776386090464	-2.2104185250362044e+16	0.39068496246519246	-2409.5212954461063	120.548192985601	-2.210417189421235e+16	0.085765086599669	-242.08586494761548	30.046167061826303	-2266340592563525.0	2.98749002735232	1560.544137051953	-1.3642420526593924e-12	128.0	0.9876750555485896	2.025325109520269	-0.7036903534777204	0.3507935695051715	0.3529463216378331	0.9876580515080929	0.04999999999999999	1.4	0.0	0.1	0.1	14.001275544296817	7.599088773175333
4.383668848945368	-5.986542568165792	3.0866865016333103	233777896439553.84	0.3192349108180825	-0.8442789720907081	-0.08370788863814436	23760813774934.586	0.3192338149299946	-0.6636400266373453	0.3137255873164462	23760789384765.46	0.07507538531097209	-0.1158471884202253	-0.008507928003742836	2415008862324.843	3.026225553554179	0.29543745384920506	2.2466473126314668e-12	135.46875	1.0347860230588384	2.103477970044668	-0.7760049060430017	0.3867730014778898	0.3892871446442576	1.0347647121439176	0.04999999999999999	1.5	0.0	0.1	0.1	14.001275544296817	7.599088773175333
4.144228546745023	-12.673417167437321	-11.937918667583878	-609627842049798.9	0.26914525692715086	1.449116798756677	-2.392764648968384	-61590181822216.32	0.2691438065423616	0.07033021521315994	-1.206075743411753	-61590078913939.79	0.06739736291709492	0.19760702130824792	-0.2417385712846434	-6222393232563.615	3.0694271624341334	-19.486781198153015	5.151434834260726e-13	188.75	1.0826855077562474	2.1876522449329716	-0.8544420767674296	0.42581741074635754	0.4286856234653069	1.0826590480753948	0.04999999999999999	1.6	0.0	0.1	0.1	14.001275544296817	7.599088773175333
