SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	SigmaQ011	SigmaQ012	SigmaQ021	SigmaQ022	Mu	Ttt	Txx	Tyy	Txy	rho	T	S	Omega	EInternal	A0	B	P	muTB	c1
-1896098056660678.5	4733330876367016.0	-28578477260948.742	92779614376220.12	-272193033456069.9	566796931269826.0	-5108183257306.119	11786517070269.568	-196306950979311.9	490051529271794.25	-2958788821612.403	9605665248826.174	-28180707367885.49	58681657845252.484	-528860771078.15546	1220282474633.8213	-6.25	10.0	-0.28515625	0.859375	1.0	-0.252550060803364	0.1262750304014598	0.12627503040190421	0	0.3432841713836135	0.02399999999999999	1.4808716591917261	-0.12627503040085092	0.252550060803364	0.0	0.0	0.1	2.913038477624813	0.0
-564812659849807.2	245883134181681.4	438683316279744.1	-389203383339128.94	-59575788014721.734	25063820063833.016	48684970465749.13	-43324359636146.87	-61349401746932.44	26707586876183.086	47649355128264.055	-42274892938991.87	-6471064147671.805	2722407756968.1113	5288114138473.891	-4705849804169.341	1.0	0.0625	0.125	1.0	1.0	-0.255533066034535	0.12776653301790744	0.12776653301662752	0	0.3457451023265476	0.025000000000000005	1.5021798690068793	-0.12776653301718457	0.255533066034535	0.0	0.0	0.1	2.892304166482577	0.0
-64790339089790.49	-362311987587105.94	-247714380932268.5	358416224300238.1	26748307958395.55	-75362558617258.27	-29352615643249.367	41941582976991.195	-7371363195174.146	-41221164883373.35	-28183101001969.797	40777933893794.43	3043223659386.061	-8574191749722.414	-3339522429954.876	4771801559418.724	0.828125	0.1875	-0.375	1.3125	1.0	-0.25855896620311514	0.12927948310199594	0.1292794831011192	0	0.3482205082042079	0.02600000000000001	1.5237669654278796	-0.12927948310221765	0.25855896620311514	0.0	0.0	0.1	2.8717435545570624	0.0
-245516003679942.88	593266108425707.5	66177944394036.5	-41452492619605.266	-19191137544371.785	60507949823918.45	6738881499539.066	-3900948091431.962	-29214738007094.934	70594640130832.64	7874726202533.909	-4932565264468.531	-2283615108642.079	7200035333568.878	801881158535.5527	-464186345339.12604	1.3125	-0.375	0.0703125	0.9375	1.0	-0.2616283212905978	0.13081416064513843	0.13081416064545937	0	0.3507103327709345	0.027	1.5456351543071711	-0.1308141606466303	0.2616283212905978	0.0	0.0	0.1	2.85135596690036	0.0
-13695835073544.906	30661646160528.617	-50806421931176.57	46729120767590.94	-6646086213434.364	9011178310217.291	-6539955163936.246	6008188150267.183	-1702138749930.4082	3810674981571.4976	-6314297671516.863	5807564619577.427	-825985477958.5963	1119922640860.3489	-812795353300.1545	746706558053.9852	1.04296875	-0.03515625	0.015625	0.984375	1.0	-0.26474169567576367	0.13237084783767303	0.13237084783809067	0	0.3532145179602697	0.027999999999999997	1.5677866269709924	-0.13237084783969383	0.26474169567576367	0.0	0.0	0.1	2.8311407067149426	0.0
1403539087454460.0	-3419073806150001.5	-100125246374694.56	135955485005280.31	294866515725286.4	-555982689744269.1	-15289156270660.268	19930866426497.344	181951874245494.22	-443241583204467.7	-12980027702832.738	17624984962499.836	38225878900002.63	-72076434031128.0	-1982054268345.5083	2583795872913.605	1.25	-2.0	-0.09375	1.03125	1.0	-0.26789965810656907	0.13394982905364647	0.13394982905292263	0	0.35573300392547635	0.029000000000000012	1.5902235598019874	-0.13394982905316494	0.26789965810656907	0.0	0.0	0.1	2.811097055839977	0.0
-2808341448760947.0	2485884794554226.0	469282721517779.25	-403073589449918.06	-360659074593293.3	317708814450921.0	61184048662369.086	-52203517893211.414	-379303015201060.3	335751052790571.1	63382731231626.21	-54440327366076.18	-48711695834997.78	42910704939514.08	8263701036098.677	-7050763627668.428	1.5	0.0	0.375	0.5625	1.0	-0.2711027816641438	0.1355513908319732	0.13555139083217063	0	0.35826572908091675	0.02999999999999999	1.6129481138360253	-0.1355513908318537	0.2711027816641438	0.0	0.0	0.1	2.7912242752478287	0.0
1829900608901915.8	-1580326807353964.5	322975085436864.75	-285900889876645.0	279391138077389.28	-246022085055090.47	51576712529838.945	-46483813427456.91	257205819712356.38	-222126409446249.25	45396493772580.44	-40185446345821.87	39270453455220.91	-34580190719707.76	7249481507231.306	-6533637552664.531	-4.25	5.0	-2.5625	3.3125	1.0	-0.274351643738857	0.13717582186889532	0.13717582186996166	0	0.3608126301442167	0.031000000000000003	1.6359624343733274	-0.13717582187093286	0.274351643738857	0.0	0.0	0.1	2.7715216055499945	0.0
-1.6107000604235748e+16	4478553103334885.0	300061349583164.9	-11405170986227.977	-2434542181531505.0	776950067780850.8	45384736955904.98	-4176374844161.7407	-2353574441786928.5	654411605188776.9	43845327922896.664	-1666537401776.446	-355738252992796.56	113528885172621.89	6631672747224.473	-610256951871.945	2.0	-0.5	1.3125	0.4296875	1.0	-0.2776468259983996	0.13882341299912565	0.138823412999274	0	0.36337364217914725	0.03199999999999999	1.659268650604145	-0.13882341300008025	0.2776468259983996	0.0	0.0	0.1	2.751988267511723	0.0
-910705704760809.2	1243535396268541.8	-45709219563202.04	79567248769657.86	-134254947031663.6	185353841978218.53	-8277986031770.446	13472107048383.816	-138204463070502.17	188713149431293.34	-6936618617935.559	12074755694097.402	-20373906490399.125	28128437183099.082	-1256228668432.9263	2044464321807.7153	1.625	-0.25	0.953125	0.03125	1.0	-0.280988914348357	0.14049445717405815	0.14049445717429884	0	0.3659486986391693	0.03300000000000001	1.682868875249105	-0.14049445717403278	0.280988914348357	0.0	0.0	0.09999999999999999	2.732623462574548	0.0
