SigmaE11	SigmaE12	SigmaE21	SigmaE22	SigmaAlpha11	SigmaAlpha12	SigmaAlpha21	SigmaAlpha22	SigmaAlphaBar11	SigmaAlphaBar12	SigmaAlphaBar21	SigmaAlphaBar22	SigmaKappa11	SigmaKappa12	SigmaKappa21	SigmaKappa22	SigmaQ011	SigmaQ012	SigmaQ021	SigmaQ022	Mu	Ttt	Txx	Tyy	Txy	rho	MuRho	T	S	Omega	EInternal	A0	B	P	muTB	c1
16.73784799592771	9.013922941392138e-10	5.029576755077869e-11	16.74056828740265	1.2107566528407179	6.648037756206584e-11	-1.3870244496248786e-11	1.210902828123375	1.2110901835392451	1.2830527988191794e-10	-8.066446100569473e-12	1.211240971750518	0.10107740225195892	9.635489910788221e-12	-1.4962952239222144e-12	0.10108811055159479	2.2307923708232487	-4.913189264759024e-11	9.835404283565444e-11	2.2314918962377934	1.0	-1.7010468033753348	0.8504821507317033	0.8505646526436317	0	1.0089599024882705	14.853276150806698	0.019999999999999993	5.639664385291445	0.5792936131812354	1.7010468033753348	2.0	0.0	0.10000000000000002	2.997725422294234	0.0
17.249788113463627	-7.954081837624472e-12	-2.4654500663245926e-11	17.251699166236705	1.928873301433905	-1.3964377672617946e-12	-1.9688865637307407e-12	1.9290353220812047	1.9297567580464652	-1.0204003213322912e-12	-2.6877489246662087e-12	1.9299430018949568	0.24956472955793862	-1.8488201098864216e-13	-2.3311891612172014e-13	0.24958654487902443	2.3347947349889626	-3.1881375236286775e-13	-2.588776946443305e-12	2.335317267271268	1.0	-1.9708966667858832	0.9854142312094961	0.9854824355763872	0	1.033515710763641	14.161362168641553	0.02999999999999999	6.026469793029953	0.7565868622313436	1.9708966667858832	2.0	0.0	0.1	2.7912242752478287	0.0
17.127500369880735	4.18349799247153e-11	7.333689211463934e-12	17.12894008660686	2.6284770634037424	8.376137165225769e-12	9.541613701013213e-13	2.6286673329631363	2.6301114342563627	5.41887700827623e-12	2.4662255019515104e-12	2.6303334736751545	0.47172790399502085	1.0787914172161556e-12	3.5017707505458045e-13	0.47176783167655867	2.472468262194054	-1.5456292459491795e-12	-8.49195531818478e-13	2.472850347555479	1.0	-2.227563680264909	1.1137543989186995	1.1138092813462093	0	1.0583029082923525	13.513179040042127	0.039999999999999994	6.427518845862494	0.9121600181380567	2.227563680264909	2.0	0.0	0.1	2.601717865394446	0.0
16.68518091969332	1.539968152997062e-11	1.7335466395707044e-11	16.686254944074296	3.296443189167284	4.51687568366867e-12	3.0972025822346085e-12	3.2966482232781535	3.298882968634036	3.787745623715353e-12	1.3885383152020443e-12	3.299116006819786	0.7735583114955756	1.2436540670561843e-12	3.198564694383177e-13	0.7736166750970014	2.627313358566589	2.596999913859052e-12	4.0229010566059245e-12	2.6275805742292384	1.0	-2.471981518035217	1.235968903298988	1.236012614736229	0	1.0833397939589753	12.909198037176088	0.049999999999999996	6.850504706954818	1.0461164887285006	2.471981518035217	2.0	0.0	0.1	2.4283509581069276	0.0
16.102800803006488	8.165024212303251e-12	2.084776795641119e-12	16.103558599199292	3.936958058041987	3.0270745981646144e-12	6.132789753939554e-14	3.9371514722643424	3.940115242152067	1.5010174093134993e-12	7.19746944248233e-13	3.9403299603018085	1.1650405864448512	6.163949418666284e-13	-8.955521366348295e-14	1.1651108477407908	2.788184443124919	-1.0025140272164687e-13	-1.578272259967164e-12	2.788365513072449	1.0	-2.7061926018046916	1.3530789844524418	1.353113617352249	0	1.1086442986611522	12.349087249707614	0.059999999999999984	7.299433407808609	1.1595822986750228	2.7061926018046916	2.0	0.0	0.1	2.2701245741966263	0.0
15.484609748823338	1.6759926779741363e-12	-1.6298074001497298e-13	15.485119241983709	4.562014399101399	6.387847889032915e-13	-2.416854155530112e-13	4.562180107294843	4.565717729532102	7.566508180526317e-13	1.1849269833400657e-13	4.565898646787335	1.6612845606116262	2.80008174931767e-13	-1.643350022189246e-14	1.661359150111768	2.946799840634254	-4.4168271029552463e-14	5.1833927708596944e-14	2.94692003508961	1.0	-2.932868140648385	1.4664203844355657	1.46644775621282	0	1.1342379594300214	11.831731277505146	0.07000000000000002	7.776952912413461	1.254243477349421	2.932868140648385	2.0	0.0	0.1	2.1259504410758425	0.0
14.886074040296702	-1.3632428519372297e-11	7.23199278240827e-13	14.886406843236413	5.185122957760906	-5.544155265885168e-12	2.732838304938879e-13	5.185257041003239	5.189178776312173	-4.477207325222727e-12	3.0551017221607955e-13	5.18932332091458	2.282389282072281	-1.7900348002646458e-12	1.3435410806098485e-13	2.2824626784935607	3.097318188555109	-1.0179754687011702e-13	1.0176335891061006e-13	3.0973968667078733	1.0	-3.1549252319408914	1.5774518060282354	1.5774734259126557	0	1.1601415958957046	11.355368324791465	0.08000000000000002	8.285029159167784	1.331981303311764	3.1549252319408914	2.0	0.0	0.1	1.994700908962646	0.0
14.33278479527696	8.821587904606076e-11	-2.691646905361722e-11	14.332999066401078	5.818255348631653	3.3358717512381725e-11	5.571449435482212e-12	5.818360320449583	5.8224881718902175	3.883263579667509e-11	-1.9700685699385194e-11	5.822600136495405	3.052865240911496	1.4047157925487508e-11	1.436348983038305e-12	3.0529340937950304	3.2360870129895893	1.644178516676955e-12	5.224505174569016e-12	3.236137963213533	1.0	-3.3752624782591782	1.6876226934975196	1.6876397847616593	0	1.1863724677592689	10.917767706657115	0.09	8.825209520923957	1.3946211536167532	3.3752624782591782	2.0	0.0	0.1	1.8752507613188503	0.0
13.833525847030907	-1.1218692641534744e-11	1.2552670014542855e-10	13.833662872002186	6.470917199464194	-9.07675565481133e-12	5.282257871483911e-11	6.47099765607498	6.475188384043243	-8.379735383873287e-12	1.257128112830838e-10	6.475273406631176	4.001081648935825	-5.552244034044482e-12	5.383116361093851e-11	4.00114407305192	3.3612557059752994	2.4910189934767336e-12	-2.237782022804484e-11	3.36128840316829	1.0	-3.596604014748399	1.7982952377031838	1.7983087770452146	0	1.2129432672793181	10.516405160754461	0.1	9.398752525238375	1.4437854949452433	3.596604014748399	2.0	0.0	0.1	1.7665093782759966	0.0
3.714276280550191	-4.3853809472693683e-13	-6.338263247585019e-13	3.725714762594388	0.006902325391664786	1.1169830174006464e-14	-5.1329566406561496e-15	0.006963707637270994	0.006955647432232229	-2.476691932549302e-16	-1.2354455632986512e-14	0.006946629133487958	5.185925762022371e-05	-1.0413796522697303e-17	-7.13565071590456e-17	5.2166544641584526e-05	2.788498625988437	-2.0775465016963154e-12	4.2623384513055383e-13	2.7984098264035837	1.0	-0.6834666810912864	0.34192662122166356	0.34154005986962277	0	1.1743957369501725	28.045653253960435	0.000999999999999994	6.6663006584218465	-0.4975953565173079	0.6834666810912864	2.5	0.0	0.1	3.4390600442094232	0.0
