IntegralExpB0	IntegralExpB0AtOverQtt	IntegralExpB0Test	ax	ay	Gx	Gy	mu	T	SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	S	mutimesrho	murhooverst	soverrho	rhoovers	Ttt	Txx	Tyy	rho	EInternal	Ax	Ay
1.0006742272103726	0.7743389867068591	0.8260510455433986	1.4	1.4	0.2	0.2	2.997725422294234	0.019999999999999993	8.44297234706658	4.0494356838920524e-13	0.6269134547765365	4.2475436845509474e-14	0.626913502737657	2.9143266246614176e-13	0.05836026097569749	2.955322753607376e-14	0	0.7423221927887262	3.1814052224483937	2.3594715151419017	25.966543306062352	3.3987047406253796	0.0428533795483097	-1.4888914145156298	0.7713044431302557	0.7713034775984728	0.7423102720940655	1.4888914145156298	1.4	1.4
1.001076211734436	0.7254085624060742	0.8374354343306543	1.5	1.5	0.2	0.2	2.997725422294234	0.019999999999999993	7.717857439880418	2.625828224266531e-12	0.5590372347245867	2.523678581298459e-13	0.5590372724993307	7.476857631869978e-14	0.05259450524304934	4.022546227413635e-15	0	0.7864628905223121	3.467632480768754	2.7084261124278006	26.723113543005358	2.218621092788587	0.05131936055129465	-1.7015344421818275	0.8834461932870483	0.8834450052571701	0.7864462931436573	1.7015344421818275	1.5	1.5
1.0014842735012832	0.6835652186870439	0.8481600528536188	1.6	1.6	0.2	0.2	2.997725422294234	0.019999999999999993	7.152020793375347	3.419684288827638e-13	0.5062172678472556	3.212890297068747e-14	0.5062172994073711	6.943714487420142e-14	0.04819091157063845	6.8404974944769074e-15	0	0.8309121660653926	3.77635056177694	3.0959436617977705	27.715274614715444	17.26747815330413	0.055208202290326476	-1.9369870678953225	1.0079252841508133	1.0079238503767958	0.830889540110319	1.9369870678953225	1.6	1.6
1.0018820809040434	0.6466451308458963	0.8578222880274972	1.7	1.7	0.2	0.2	2.997725422294234	0.019999999999999993	6.6915702157225665	2.3673880414320097e-12	0.46313208015715124	2.1459017050848753e-13	0.46313211127575127	1.9440919875773875e-13	0.04465110852298955	1.7661718815595566e-14	0	0.8756277555275958	4.107430842561729	3.524461251929224	28.79465907836668	1.2417590254011044	0.05726096732453371	-2.1965102897800337	1.1454796646951833	1.1454779626839038	0.8755976892912949	2.1965102897800337	1.7	1.7
1.002267612579977	0.6138089918150674	0.8665564485780133	1.8	1.8	0.2	0.2	2.997725422294234	0.019999999999999993	6.308570935288703	1.4975442559542572e-12	0.4271521488732742	8.957393005590265e-14	0.427152181818166	8.204955723099233e-14	0.041731752338315865	2.398244714721914e-15	0	0.9205612237207172	4.460829874902164	3.9964469504749767	29.91222875983986	3.8105076420569883	0.058392296611505606	-2.4813676330615864	1.2968567271391547	1.2968547340852887	0.920522193955562	2.4813676330615864	1.8	1.8
1.002641853266437	0.5843945757412645	0.8744781882233988	1.9	1.9	0.2	0.2	2.997725422294234	0.019999999999999993	5.984887195445942	3.637092821705148e-13	0.39660331862973286	3.031374212431765e-14	0.3966033529756428	8.298691237868442e-14	0.03928166295226271	7.336436125249287e-15	0	0.965677190576878	4.836421889186173	4.514371398384254	31.050740223162517	-27.690027072513356	0.05896870256225332	-2.7927944513542	1.4627979743744912	1.4627956670086317	0.9656275399220813	2.7927944513542	1.9	1.9
1.0030060355723758	0.557856897542198	0.8816795538489656	2.0	2.0	0.2	0.2	2.997725422294234	0.019999999999999993	5.707865170791001	3.5882039726318367e-12	0.37032121629607107	2.976705038286847e-13	0.3703212511154176	4.0703731002474483e-13	0.037197152361758044	3.512780275108156e-14	0	1.010949259837186	5.234067063033299	5.080706530921716	32.20253871803829	2.024924488167972	0.05917876426707718	-3.1319981265129013	1.6440396711758216	1.6440370260558386	1.0108871731436246	3.1319981265129013	2.0	2.0
1.003361185395961	0.5337601865579462	0.8882528104134699	2.1	2.1	0.2	0.2	2.997725422294234	0.019999999999999993	5.468322110423745	2.1836644975090527e-13	0.34746200421566203	2.4149203646188e-14	0.34746203900295447	3.0487225617429104e-13	0.03540370565431621	2.737227017415863e-14	0	1.0563564772595895	5.653641318748814	5.697926590150265	33.36334797415466	-6.17579340069673	0.05913672065008885	-3.50015896950468	1.8413139869525998	1.841310980637717	1.0562799688479616	3.50015896950468	2.1	2.1
1.0037081267691468	0.5117571916639967	0.8942708546049483	2.2	2.2	0.2	0.2	2.997725422294234	0.019999999999999993	5.259387577273994	5.8995867724672595e-12	0.3273957847121751	4.717344943331718e-13	0.32739581953760233	2.761209555208884e-13	0.033846064348728506	2.748364405105005e-14	0	1.1018815822799013	6.0950404255929	6.368508250236823	34.530443572348595	1.8085272289601055	0.058917428491695546	-3.8984292669874665	2.055349308988645	2.0553459181404397	1.101788488776406	3.8984292669874665	2.2	2.2
1.0040475308474197	0.49156811746418766	0.8997937841467133	2.3	2.3	0.2	0.2	2.997725422294234	0.019999999999999993	5.075793204260505	1.1358415991023243e-12	0.30964085197070396	1.2895630706808486e-13	0.30964088741766715	2.7114729628818964e-13	0.03248222092526547	2.5772485556799043e-14	0	1.1475101151439455	6.558176985378551	7.094930228248769	35.70198472109002	1.09437407035988	0.058571927094030155	-4.327931346801194	2.2868701812247383	2.2868663826070548	1.1473980899630138	4.327931346801194	2.3	2.3
1.0043799528985848	0.4729642603593422	0.9048758095039432	2.4	2.4	0.2	0.2	2.997725422294234	0.019999999999999993	4.913418449430044	4.680766062813712e-14	0.29382140382619754	3.5228546895429095e-15	0.2938214410550582	2.9939582840553404e-14	0.03127958653034588	2.3332659431069e-15	0	1.1932298547052982	7.042976902680451	7.879672805655902	36.876687611573	0.4593523291775397	0.05813596184849866	-4.789755239175828	2.5365971740449815	2.5365929445828246	1.1930963626068831	4.789755239175828	2.4	2.4
1.0047058558324131	0.4557561843050517	0.9095657247029749	2.5	2.5	0.2	0.2	2.997725422294234	0.019999999999999993	4.768987843340788	1.2453533403414093e-13	0.279639361463856	4.324138614671422e-15	0.2796394020197852	6.972677173986231e-14	0.030212450162104696	8.340683177831974e-15	0	1.2390304019057254	7.549376643645825	8.725217412062076	38.05363448255878	1.1879124983805427	0.05763512117406807	-5.284956104682773	2.805246782572561	2.8052420994111213	1.2388727135834838	5.284956104682773	2.5	2.5
1.005025632269531	0.4397851756744152	0.913906231816624	2.6	2.6	0.2	0.2	2.997725422294234	0.019999999999999993	4.639861900804396	3.446250253619152e-12	0.26685496381849244	3.4728872882335627e-13	0.2668550099532112	1.0622849902340188e-13	0.029260237047650697	3.63906440221787e-15	0	1.2849028522574757	8.077321210752668	9.634046288965594	39.23215471889092	1.655384402366129	0.057088063703423696	-5.814551437627648	3.0935313629049643	3.093526203327278	1.2847180389802202	5.814551437627648	2.6	2.6
