SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	Trace	TRatio	Omega	rho	S	T	Mu	EInternal	Txx	Tyy	murh	ax	Gmu	ay	Ax	Ay	Gx	Gy	mu	Q
46.35313706319849	1.1159617880392853e-12	2.319759693189256	1.9004128817566392e-14	2.319759695225796	7.930389285610907e-14	0.13224589238548146	1.0686229718618285e-15	0.0	0.05227518049036075	0.47311503735037763	0.13579745785161076	-5.793704423796313	1.2351331219600938	2.9083961348591947	0.038	1.0	3.483975656358473	1.9786798951447997	1.9784107985640504	23.637575859371708	2.0	0.08461104522302569	2.0	2.0	2.0	1.0	1.0	23.637575859371708	13.156317128073637
38.67209850351108	7.140376397790638e-12	1.8152499521516179	4.420671353090067e-13	1.815276691630848	4.650375905322503e-13	0.13641172931523016	2.5884072373890507e-14	0.0	0.06881937215258152	0.4712287165265775	0.12889075735954056	-4.238684810238339	1.5848048827618617	3.76120374260198	0.0385	1.0	3.6560318690042743	2.0636307254835096	2.063629860047343	23.04913386633301	2.0	0.0867711564173491	2.0	2.0	2.0	0.1	0.1	23.04913386633301	12.816813582687356
22.00885287609505	2.3331399204122583e-12	0.7977527903990637	9.134692693793075e-14	0.7977540052299262	3.2448183559632344e-13	0.06582838595417387	1.1311150168640992e-14	0.0	0.06850032090662135	0.476622780523131	0.13076253398607715	-4.284189029406404	1.577487544462175	3.646482419549522	0.0385	1.0	3.644949099670087	2.0607874893455413	2.0607843908476764	23.04913386633301	2.0	0.0867711564173491	2.0	2.0	2.0	0.2	0.2	23.04913386633301	12.816813582687356
14.285640611076492	4.137098039906466e-12	0.4643352309184855	3.5964620993997463e-13	0.4643354905930436	5.516768135260888e-13	0.04476234150178769	4.300380564727709e-14	0.0	0.06724378689817082	0.4850208100432834	0.1345034600115791	-4.470691087310275	1.5486495929388988	3.2975887476198245	0.0385	1.0	3.606009912321431	2.0455256413071172	2.045505081057597	23.04913386633301	2.0	0.0867711564173491	2.0	2.0	2.0	0.4	0.4	23.04913386633301	12.816813582687356
18.34009638887073	1.3055836509015366e-11	0.8350630138180626	1.0582266699327442e-12	0.8350630808814588	1.028127929639425e-12	0.05964948104543874	8.216714960598487e-14	0.0	0.06427312682916064	0.48711814288289956	0.13629264271858366	-4.792034836107057	1.4803946392921317	3.056748991418949	0.0385	1.0	3.5740604420496753	2.0306216269420307	2.0305569579905436	23.04913386633301	2.0	0.0867711564173491	2.0	2.0	2.0	0.6000000000000001	0.6000000000000001	23.04913386633301	12.816813582687356
45.22963648806447	2.057711452944054e-11	2.3241323340816193	1.1360010326035213e-12	2.32413233616051	2.6479569596295668e-12	0.1362686382318637	1.4687263672284853e-13	0.0	0.05363468570290721	0.463269885128492	0.13134325422940735	-5.754032894436733	1.2357403452481166	2.950048007507517	0.0385	1.0	3.5271692318459955	1.9953468379142274	1.9950922790602599	23.04913386633301	2.0	0.0867711564173491	2.0	2.0	2.0	1.0	1.0	23.04913386633301	12.816813582687356
38.22263092171474	6.016569892037388e-12	1.84206068916801	1.6274447741627828e-14	1.8420874540047711	5.668656313025546e-13	0.1420821119946693	4.5410111247954095e-15	0.0	0.07055491469106136	0.4611057908868852	0.12488135064846986	-4.206992048395577	1.5849645689887564	3.8129970491309226	0.039	1.0	3.692351087592397	2.0767288604822682	2.0767280179970133	22.483158888604876	2.0	0.08895547151133014	2.0	2.0	2.0	0.1	0.1	22.483158888604876	12.490283979578127
21.753252267755318	6.377855085422726e-12	0.8099681693109428	2.1402483431568573e-13	0.8099693903665396	3.335292658289691e-13	0.06858545606887667	1.046646555199067e-14	0.0	0.07022860926242369	0.4664287050892764	0.12669987879441344	-4.252314876998905	1.5776628171638203	3.6983799704282374	0.039	1.0	3.6813666242421266	2.073899153898604	2.0738961754327994	22.483158888604876	2.0	0.08895547151133014	2.0	2.0	2.0	0.2	0.2	22.483158888604876	12.490283979578127
14.11148843010047	4.384201186227905e-12	0.47025128842098696	3.700366455018542e-13	0.47025154540222874	1.4906954249656273e-13	0.046537662910986544	7.51767754910319e-15	0.0	0.06894269703871052	0.4747668786286788	0.13032824693973763	-4.4381115400860605	1.548867981251045	3.348462229485037	0.039	1.0	3.6428547899382537	2.0588205635742525	2.05880110499268	22.483158888604876	2.0	0.08895547151133014	2.0	2.0	2.0	0.4	0.4	22.483158888604876	12.490283979578127
17.968816777486744	4.65941094572337e-12	0.8392879152382486	1.7190610518038988e-13	0.8392879825631386	1.7720590604812738e-13	0.061833245018866695	1.3721086022112964e-15	0.0	0.06590977614902471	0.47689203047176987	0.13204264221321232	-4.758021687158838	1.480880793316767	3.101492317547584	0.039	1.0	3.611651679172863	2.044302425495589	2.0442412841490434	22.483158888604876	2.0	0.08895547151133014	2.0	2.0	2.0	0.6	0.6	22.483158888604876	12.490283979578127
