SigmaEL	SigmaET	SigmaAlphaL	SigmaAlphaT	SigmaAlphaBarL	SigmaAlphaBarT	SigmaKappaL	SigmaKappaT	basis_angle	rhoH	Trace	TRatio	Omega	rho	S	T	Mu	EInternal	Txx	Tyy	murh	ax	Gmu	ay	Ax	Ay	Gx	Gy	mu	Q
753.8534254356847	3.669856233205521e-07	0.9250930627474364	4.320919998439587e-10	0.9250930697679692	4.738416377828571e-10	0.001188755935225398	5.58920183189841e-13	0.0	0.0005916241825502148	0.0834348484591794	0.24122745788381358	-0.7695449538569258	0.7291913171854716	0.3290716194401796	0.0050999999999999995	1.0	0.3458762497068867	0.21465786626809147	0.21465323189797464	1265.9568332188217	0.6	0.0004739498095479607	0.6	0.6	0.6	0.2	0.2	1265.9568332188217	730.4006894632192
740.909841332395	1.6019382095220627e-07	0.9452574536717148	2.0839896231529127e-10	0.9452574609126418	2.118244986980736e-10	0.0012627187749418632	2.7619286801334664e-13	0.0	0.0006107225467224126	0.08349599604183451	0.24231481634118235	-0.770268846473017	0.7287801277132786	0.33440188119742087	0.0052	1.0	0.3445765195153031	0.21403868902551074	0.2140338265316269	1217.7673304778264	0.6	0.0004927049568365186	0.6	0.6	0.6	0.19999999999999998	0.19999999999999998	1217.7673304778264	702.5784738512697
725.6780935724053	5.588752804785253e-08	0.9614837925827739	7.945169993896435e-11	0.9614837999210751	7.9407727643225e-11	0.0013340545414172733	1.1260267325465832e-13	0.0	0.0006310477861566681	0.08369194103235818	0.2438365743626905	-0.7709307057965711	0.7283219447233593	0.33985861201865036	0.0053	1.0	0.3432296457211216	0.213463334069672	0.21345825268380775	1172.2797181848216	0.6	0.0005118232369737237	0.6	0.6	0.6	0.2	0.2	1172.2797181848216	676.3161955478224
709.3724706757883	1.7926026278224528e-08	0.9752097813858362	2.8144945879871724e-11	0.9752097888171948	2.4906771490814122e-11	0.0014043536393681976	3.9169517777058546e-14	0.0	0.0006524298203575066	0.08398511151254348	0.24567891813783815	-0.771544507201664	0.7278294820716027	0.34543602445074617	0.0054	1.0	0.34184907744271176	0.21291973994865637	0.2129144490065988	1129.2957213190823	0.6	0.0005313045898191888	0.6	0.6	0.6	0.2	0.2	1129.2957213190823	651.4993804162665
692.7879654547224	1.0899095380996916e-07	0.9874671691192176	1.4339278548809186e-10	0.987467176654167	2.3540243486404927e-10	0.001474868085404671	3.125219717590854e-13	0.0	0.0006747269289557316	0.08435031815545035	0.24776487181398818	-0.7721244930599386	0.727314211546185	0.3511222915042179	0.0055	1.0	0.3404450257128345	0.21240041746150568	0.21239492640677923	1088.6349244370588	0.6	0.0005511489540998003	0.6	0.6	0.6	0.19999999999999998	0.19999999999999998	1088.6349244370588	628.0238655516804
676.4313350594218	3.823989463925745e-08	0.9989869264974324	5.992368278551545e-11	0.9989869340974002	5.834192208066045e-11	0.0015465773939341055	9.159326163437723e-14	0.0	0.0006978219982099065	0.08477051868951382	0.25004171828859784	-0.7726845758361349	0.7267864750131328	0.35690378149075974	0.0056	1.0	0.3390255005033672	0.211900850412588	0.21189516878029302	1050.1328754463186	0.6	0.0005713562674104389	0.6	0.6	0.6	0.2	0.2	1050.1328754463186	605.794704494207
660.610617881599	1.1987094292707518e-08	1.0102759333152835	1.8184703906624295e-11	1.0102759409911297	1.8577668816355226e-11	0.0016202406091356297	2.8114182741663254e-14	0.0	0.0007216193461816468	0.0852341494013284	0.25247307736115754	-0.7732376534709475	0.7262554261106833	0.3627670542422563	0.005699999999999999	1.0	0.33759698377424496	0.2114184978933774	0.21141263528219595	1013.639420174797	0.6	0.0005919264662147147	0.6	0.6	0.6	0.2	0.2	1013.639420174797	584.7252056921617
645.4973285249978	1.9540833752853832e-07	1.0216737764315027	3.055243257181183e-10	1.021673784180857	3.112363564057371e-10	0.0016964376006575856	4.862724858843126e-13	0.0	0.0007460419692629721	0.08573340095249453	0.2550337815681614	-0.7737950557903701	0.7257289541672755	0.3686997470536623	0.0058	1.0	0.33616488147308854	0.21095215819362462	0.2109461242319584	979.017236181033	0.6	0.0006128594858457141	0.6	0.6	0.6	0.2	0.2	979.017236181033	564.7360859969777
631.1704082766703	6.5698207505206045e-09	1.0333957715739137	1.1971652705956081e-11	1.033395779393975	7.650474076879979e-12	0.0017756028399820195	1.4327562457100785e-14	0.0	0.0007710290438343697	0.08626305918727051	0.25770641936035016	-0.7743661805739723	0.7252136478815703	0.37469090712849795	0.005900000000000001	1.0	0.3347338393874043	0.2105015471322677	0.21049535144240708	946.1405390227823	0.6	0.0006341552605067612	0.6	0.6	0.6	0.2	0.2	946.1405390227823	545.754723727042
617.6475182885961	1.4450770629789202e-07	1.0455659672868378	2.3872041429224066e-10	1.0455659751662254	2.583721374578295e-10	0.001858053535485102	4.2593485380516285e-13	0.0	0.0007965336034991673	0.08681969553263036	0.2604789059042815	-0.7749583124427082	0.7247148123094251	0.38073105010788744	0.006	1.0	0.3333079706827934	0.21006700702629683	0.21006065918912692	914.8939381845995	0.6	0.000655813723272191	0.6	0.6	0.6	0.19999999999999998	0.19999999999999998	914.8939381845995	527.7144981371758
